Structure,HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,Calc_lambda,refractive_index,E_T(30),E_T^N,Quantum Yield,Exp. Kr,lambda,Exp. lifetime,,Refer,,,Note
30,-0.208714871,-0.083881578,5.95736678,6.94,7.62,2.42E-05,2.22848,1357669.405,0.9489,0.5092,5.2815,3.6235,0.9736,0.3426,6.4109,5.2569,0.8051,0.682,4.1221,1.2335,0.7808,0.5579,4.2511,2.8412,0.7893,0.6075,4.1751,1.9764,0.8304,0.5264,4.8664,2.5432,1,2,2,3,1.926189243,2.00241654,2.096454388,2.204113881,126.62195,205.27004,205.34631,312.60859,5422.283649,556.4330844,1.4448,40.7,0.309,0.8,28571.42857,488,28,,"Chem. Eur. J. 2013, 19, 69-73",,,
31,-0.20941224,-0.081400266,4.04347196,12.54,2.49,3.54E-05,2.28075,1357669.662,0.9367,0.5306,5.1208,3.3514,0.9787,0.3259,6.5025,5.3774,0.7716,0.6891,4.0764,1.0429,0.7738,0.5744,4.1671,2.6339,0.7667,0.601,4.1883,1.9119,0.8739,0.4825,5.3978,3.2573,1,2,2,3,1.92645737,1.998720591,2.093994747,2.191680177,126.6148,205.26856,205.34755,312.60225,8127.560336,543.6808068,1.4448,40.7,0.309,0.75,42372.88136,482,17.7,,"Adv. Mater. 2013, 25, 6765-6770",,,
58,-0.190024741,-0.071758716,5.76036582,36.75,115.17,0.000204,2.15101,1357669.4,0.9321,0.4628,5.6161,4.0154,0.9798,0.3283,5.7905,4.3121,0.9352,0.3826,5.7122,4.3687,0.8367,0.4651,4.8473,4.0382,0.6981,0.6446,3.539,1.5809,0.9128,0.3618,5.2411,3.4514,1,1,2,2,1.994280071,1.99797998,2.223777417,2.371513019,126.55928,126.49564,205.39482,205.49134,47142.23667,576.4733776,1.406,,,1,238095.2381,520,4.2,,"Inorg. Chem. 2017, 56, 8244",,,
59,-0.191445879,-0.093308673,6.15291827,90.61,300.43,0.0003885,1.5797,1357673.146,0.9238,0.4407,5.6942,4.6732,0.9415,0.4397,6.2252,4.7573,0.8904,0.3333,4.6403,3.3588,0.8056,0.5374,4.4166,3.5621,0.8414,0.5533,5.0785,3.5175,0.8799,0.5224,5.4595,4.0354,1,1,2,2,1.973726931,1.999222599,2.106271113,2.192763097,126.56579,126.51054,205.42037,205.40055,54550.89093,784.9591695,1.406,,,0.52,288888.8889,632,1.8,,"J. Phys. Chem. Lett. 2018, 9, 2285",,,
60,-0.196663603,-0.082652646,4.96662555,150.68,145.73,5.05E-05,1.94778,1357669.414,0.9211,0.4374,5.4749,4.3374,0.9291,0.4466,5.8535,4.1378,0.8632,0.2082,3.7931,2.8095,0.6739,0.6816,3.3983,1.8869,0.8465,0.4753,4.9151,4.0341,0.8774,0.4583,5.2175,4.1119,1,1,2,2,1.990121604,1.994851624,2.1975996,2.344007253,126.56823,126.49076,205.37996,205.49297,14002.07008,636.6222058,1.406,,,0.65,118181.8182,542,5.5,,"Inorg. Chem. 2017, 56, 8244",,,
61,-0.196006667,-0.07220679,5.29316386,144.03,197.69,9.75E-05,2.15363,1357669.621,0.9009,0.4837,5.0964,3.708,0.9759,0.3492,5.5031,4.0464,0.9195,0.4122,5.5645,4.1276,0.7195,0.6457,3.5768,1.5841,0.7903,0.5859,4.4166,2.5203,0.8551,0.4265,4.7759,3.1442,1,1,2,2,1.989342856,1.99406018,2.191350725,2.282200035,126.56899,126.49046,205.37473,205.47159,32829.91813,575.7720686,1.406,,,0.78,141818.1818,498,5.5,,"Inorg. Chem. 2017, 56, 8244",,,
62,-0.192382819,-0.076452119,4.61209606,109.02,239.48,0.0002193,2.03779,1357671.494,0.9083,0.4714,5.1264,3.9894,0.9388,0.4059,5.8406,4.3933,0.8426,0.2383,3.4449,2.3427,0.8396,0.4789,4.5482,3.8925,0.8097,0.4594,4.5128,4.1225,0.7215,0.5546,4.013,2.7902,1,1,2,2,1.981591532,1.988591461,2.157694371,2.184997025,126.49729,126.56917,205.57768,205.36555,51400.32143,608.5023481,1.406,,,0.81,184090.9091,514,4.4,,"Inorg. Chem. 2017, 56, 8244",,,
63,-0.190917989,-0.074614878,4.72504412,60.03,247.8,0.0002908,2.16243,1357671.853,0.9302,0.453,5.3711,4.2304,0.9462,0.439,5.8476,4.3472,0.9769,0.3352,5.5346,4.1177,0.8872,0.4538,5.0737,4.2126,0.828,0.476,4.3529,3.7815,0.7701,0.5517,4.2959,2.5081,1,1,2,2,1.972779004,1.988241686,2.130634647,2.188106259,126.49741,126.54362,205.74948,205.36456,79919.14181,573.4289665,1.406,,,1,277777.7778,468,3.6,,"Inorg. Chem. 2017, 56, 8244",,,
64,-0.189041081,-0.072614679,5.49979891,76.83,278.57,0.0002752,2.14988,1357672.159,0.9262,0.4596,5.2585,4.1287,0.9517,0.4187,6.0343,4.5999,0.9022,0.2877,3.823,1.9354,0.8844,0.4601,4.9772,4.1177,0.8443,0.4559,4.5627,4.0616,0.7666,0.5496,4.2963,2.4601,1,1,2,2,1.976630213,1.982397538,2.098048855,2.194202133,126.50126,126.53954,205.7405,205.38633,84535.22112,576.7763782,1.406,,,1,714285.7143,476,1.4,,"Inorg. Chem. 2017, 56, 8244",,,
65,-0.191494542,-0.075775834,5.09398601,62.73,252.26,0.0002548,2.14921,1357671.612,0.9301,0.4538,5.452,4.336,0.9481,0.4382,5.9452,4.3335,0.9762,0.3365,5.6263,4.5652,0.8851,0.4564,5.1073,4.2891,0.8237,0.4967,4.3859,3.6526,0.7695,0.5555,4.3959,2.8076,1,1,2,2,1.972946274,1.98845191,2.127846329,2.191277481,126.49594,126.54186,205.74384,205.36536,70896.89826,576.9561839,1.406,,,1,270270.2703,480,3.7,,"Inorg. Chem. 2017, 56, 8244",,,
66,-0.194131954,-0.073554635,6.02056454,50.42,143.61,0.0002931,2.26594,1357670.664,0.9372,0.4698,5.4083,3.8147,0.9791,0.3391,5.6846,4.1783,0.9382,0.4604,5.5116,3.7924,0.8689,0.4667,4.9581,3.8393,0.7339,0.6225,3.4321,1.7725,0.9235,0.366,5.1939,3.7931,1,1,2,2,1.976827003,1.989092758,2.186378284,2.227202056,126.49359,126.5362,205.37275,205.64639,76917.2771,547.2342604,1.406,,,1,188679.2453,464,5.3,,"Inorg. Chem. 2017, 56, 8244",,,
73,-0.201541569,-0.061472749,11.1719099,35.13,132.64,0.0003059,2.59609,1357672.019,0.9353,0.5527,5.3049,2.8262,0.866,0.5812,4.8231,1.7312,0.8752,0.6485,5.1966,2.0159,0.7473,0.5809,4.2769,2.461,0.8033,0.5941,4.2804,1.9993,0.856,0.6033,4.8878,2.0753,1,1,2,2,1.981367457,1.987861665,2.16958844,2.177326112,126.49188,126.52294,205.35141,205.47166,161626.1464,477.6413761,1.4448,40.7,0.309,0.95,106741.573,444,8.9,,"Chem. Mater. 2016, 28, 3276",,,
75,-0.201967064,-0.062763904,9.2317541,15.4,66.09,0.0004223,2.53544,1357672.472,0.9379,0.6108,5.5525,2.172,0.9068,0.583,5.5038,2.1472,0.8769,0.604,5.1273,1.5772,0.7418,0.6003,4.4402,2.0643,0.8507,0.5965,4.703,1.6997,0.833,0.5914,4.8817,2.0603,1,1,2,2,1.97984166,1.988014839,2.164046672,2.169133007,126.49671,126.52308,205.48241,205.36676,140986.6456,489.0669864,1.4448,40.7,0.309,0.48,97959.18367,450,4.9,,"J. Mater. Chem. C, 2017, 5, 9496",,,
76,-0.203538398,-0.090604057,11.6870172,66.76,228.46,0.0008813,2.28372,1357673.321,0.9726,0.3028,6.4221,5.2302,0.9563,0.3563,6.1922,4.7207,0.9548,0.3972,6.6879,5.333,0.9387,0.3138,6.0895,5.126,0.8872,0.3839,5.6862,4.392,0.7991,0.4605,5.0899,3.8242,1,1,2,2,1.97044056,1.982433605,2.14836077,2.153747664,126.49565,126.52371,205.42517,205.46329,340537.3043,542.9737446,1.4448,40.7,0.309,0.19,237500,546,0.8,,"Inorg. Chem. 2013, 52, 7344",,,
77,-0.20239907,-0.058866058,10.58289681,20.54,91.29,0.0004171,2.63634,1357672.61,0.9321,0.6085,5.322,2.2959,0.872,0.6024,4.8327,1.4562,0.8792,0.641,5.135,2.1361,0.7307,0.6137,4.1766,2.0882,0.8334,0.6097,4.5196,1.791,0.8367,0.6185,4.7489,1.7174,1,1,2,2,1.975264539,1.987008304,2.160145828,2.170830947,126.50282,126.52138,205.46434,205.3575,266994.1334,470.3490445,1.4448,40.7,0.309,0.89,89000,444,10,,"Angew. Chem. Int. Ed. 2017, 56, 9160",,,
78,-0.202349457,-0.061460305,10.73888164,20.86,101.74,0.000633,2.64212,1357672.611,0.9474,0.5381,5.3229,2.8452,0.8865,0.5883,4.8369,1.8507,0.8839,0.6806,5.1662,1.6245,0.7406,0.5954,4.2331,2.148,0.8258,0.5976,4.3725,1.9421,0.8601,0.5968,4.8916,1.9344,1,1,2,2,1.975726702,1.986762442,2.158305354,2.173625773,126.50301,126.52052,205.46383,205.36975,281079.7518,469.3200914,1.4448,40.7,0.309,0.82,234285.7143,450,3.5,,"Angew. Chem. Int. Ed. 2017, 56, 9160",,,
79,-0.202140759,-0.059869082,9.73274583,13.18,74.89,0.0003597,2.61019,1357671.841,0.9397,0.5675,5.1613,2.5613,0.8758,0.5813,4.7875,1.6103,0.8701,0.6576,5.0112,1.976,0.7319,0.5968,4.1104,2.1663,0.8343,0.5989,4.3585,1.9686,0.8529,0.6088,4.7533,1.7926,1,1,2,2,1.96853575,1.985901558,2.1668784,2.209421644,126.51083,126.52092,205.47859,205.35576,224628.4008,475.0612024,1.4448,40.7,0.309,0.45,145161.2903,450,3.1,,"Angew. Chem. 2018, 130, 14325",,,
80,-0.206185853,-0.098690503,9.01741482,43.26,245.1,0.0005421,2.05075,1357673.618,0.9694,0.3158,5.4237,4.1378,0.9531,0.3754,5.2623,3.6634,0.9658,0.3402,5.8127,4.6313,0.9402,0.3214,5.1798,4.0918,0.9162,0.3771,5.1341,3.6487,0.8866,0.3667,5.2652,4.1951,1,1,2,2,1.967514676,1.982948814,2.146892871,2.156862073,126.49679,126.52122,205.46028,205.47335,187371.4117,604.6568329,1.4448,40.7,0.309,0.011,18333.33333,568,0.6,,"Inorg. Chem. 1999, 38, 4046",,,
81,-0.200364762,-0.052329628,13.19867611,75.59,86.77,0.000532,2.63615,1357672.509,0.8741,0.7398,5.1711,0.6824,0.8581,0.628,4.9859,1.4305,0.8631,0.6381,4.8999,0.4665,0.7149,0.7246,4.0796,0.6934,0.7827,0.6423,4.3546,0.4524,0.7949,0.6408,4.4662,0.5204,1,1,2,2,1.976535606,1.98736031,2.160698267,2.172837776,126.5018,126.5234,205.46598,205.3159,223773.9414,470.3829448,1.4448,40.7,0.309,0.8,59259.25926,442,13.5,,"Inorg. Chem. 1999, 38, 4046",,,
82,-0.204344547,-0.092466998,9.51301,54.08,463.64,0.001618,2.13139,1357671.729,0.9538,0.3274,5.2451,3.9316,0.9213,0.4327,5.0106,3.2253,0.8906,0.3149,5.236,1.0447,0.9217,0.3359,5.0015,3.8111,0.853,0.4321,4.7259,3.199,0.8572,0.3588,4.8944,1.0944,1,1,2,2,1.971336095,1.992324522,2.171083831,2.171572241,126.4925,126.52393,205.44444,205.47348,492092.7415,581.7799652,1.4448,40.7,0.309,0.53,294444.4444,496,1.8,,"Inorg. Chem. 1999, 38, 4046",,,
83,-0.206302415,-0.07969944,9.25411474,147.21,2008.2,3.69E-05,1.83581,1357668.76,0.5089,0.5483,1.9909,0.0987,0.503,0.6227,2.0219,0.2739,0.9101,0.4656,6.1448,3.75,0.4907,0.5484,1.939,0.1016,0.5021,0.6207,2.0126,0.2662,0.7315,0.5249,4.7475,2.5662,1,1,2,1,2.073003859,2.081240015,2.61490822,2.893265629,126.46735,126.48071,205.42748,126.53376,6457.635632,675.4511632,1.4448,40.7,0.309,0.31,119230.7692,508,2.6,,"Inorg. Chem. 1999, 38, 4046",,,
84,-0.209063996,-0.079578246,14.26000332,115.63,493.02,0.0008913,2.62649,1357671.061,0.9607,0.3308,5.5715,4.0736,0.9313,0.3939,5.2489,3.6081,0.9746,0.3435,5.9928,4.4697,0.9173,0.3388,5.2445,3.9911,0.8584,0.4037,4.7783,3.4954,0.7359,0.6458,4.5724,1.271,1,1,2,2,1.987210608,2.002616538,2.155835569,2.191700253,126.49672,126.5017,205.48102,205.38184,440604.0036,472.1129721,1.406,,,0.79,175555.5556,478,4.5,,"Inorg. Chem. 1999, 38, 4046",,,
85,-0.177223805,-0.043881126,9.76997107,36.97,105.76,8.46E-05,2.50181,1357670.349,0.9868,0.3993,6.1863,3.469,0.9592,0.4328,5.7915,3.202,0.9721,0.3703,6.1755,3.9644,0.755,0.5041,4.5696,2.5801,0.9201,0.4191,5.8111,3.3295,0.9233,0.507,5.5539,2.8097,1,1,2,2,1.987471509,2.004688504,2.178842583,2.187365082,126.50577,126.50411,205.36267,205.37711,46209.15869,495.6411558,1.406,,,0.26,20000,446,13,,"Inorg. Chem. 1999, 38, 4046",,,
86,-0.191461256,-0.116609677,3.40757003,92.99,334,0.0006523,1.24618,1357670.472,0.971,0.2848,5.9522,4.5482,0.9408,0.3702,5.3985,4.1218,0.9497,0.3564,5.3241,3.7538,0.9559,0.2881,5.776,4.5323,0.8972,0.3715,5.0129,4.1029,0.9205,0.3784,5.4662,3.8892,1,1,2,2,1.982253516,1.998327801,2.173168194,2.190175564,126.49959,126.51007,205.49874,205.40814,79907.17722,995.0408448,1.406,,,0.02,270270.2703,590,0.074,,"Chem. Eur. J. 2007, 13, 417",,,
